ranking,icd3,disease_name,patient_count,morbidity_pct,morbidity_group,scarcity_weight_pct
1105,O08,Complications following abortion and ectopic and molar pregnancy,1971,0.000611792,Group 5 (Morbidity <0.001%),0
1106,H95,"Postprocedural disorders of ear and mastoid process, not elsewhere classified",1956,0.000607136,Group 5 (Morbidity <0.001%),0
1107,Q79,"Congenital malformations of the musculoskeletal system, not elsewhere classified",1949,0.000604963,Group 5 (Morbidity <0.001%),0
1108,S34,"Injury of nerves and lumbar spinal cord at abdomen, lower back and pelvis level",1945,0.000603721,Group 5 (Morbidity <0.001%),0
1109,Z10,Routine general health check-up of defined subpopulation,1915,0.000594409,Group 5 (Morbidity <0.001%),0
1110,F17,Mental and behavioural disorders due to use of tobacco,1894,0.000587891,Group 5 (Morbidity <0.001%),0
1111,Z70,"Counselling related to sexual attitude, behaviour and orientation",1879,0.000583235,Group 5 (Morbidity <0.001%),0
1112,P24,Neonatal aspiration syndromes,1878,0.000582925,Group 5 (Morbidity <0.001%),0
1113,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum,1871,0.000580752,Group 5 (Morbidity <0.001%),0
1114,I30,Acute pericarditis,1859,0.000577027,Group 5 (Morbidity <0.001%),0
1115,Z23,Need for immunization against single bacterial diseases,1857,0.000576406,Group 5 (Morbidity <0.001%),0
1116,R02,"Gangrene, not elsewhere classified",1855,0.000575786,Group 5 (Morbidity <0.001%),0
1117,O06,Unspecified abortion,1854,0.000575475,Group 5 (Morbidity <0.001%),0
1118,C40,Malignant neoplasm of bone and articular cartilage of limbs,1848,0.000573613,Group 5 (Morbidity <0.001%),0
1119,P70,Transitory disorders of carbohydrate metabolism specific to fetus and newborn,1848,0.000573613,Group 5 (Morbidity <0.001%),0
1120,P03,Fetus and newborn affected by other complications of labour and delivery,1847,0.000573302,Group 5 (Morbidity <0.001%),0
1121,U11,Need for immunization against COVID-19,1844,0.000572371,Group 5 (Morbidity <0.001%),0
1122,S74,Injury of nerves at hip and thigh level,1825,0.000566474,Group 5 (Morbidity <0.001%),0
1123,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",1810,0.000561818,Group 5 (Morbidity <0.001%),0
1124,E75,Disorders of sphingolipid metabolism and other lipid storage disorders,1810,0.000561818,Group 5 (Morbidity <0.001%),0
1125,I06,Rheumatic aortic valve diseases,1809,0.000561507,Group 5 (Morbidity <0.001%),0
1126,D66,Hereditary factor VIII deficiency,1808,0.000561197,Group 5 (Morbidity <0.001%),0
1127,D03,Melanoma in situ,1803,0.000559645,Group 5 (Morbidity <0.001%),0
1128,O16,Unspecified maternal hypertension,1794,0.000556851,Group 5 (Morbidity <0.001%),0
1129,B99,Other and unspecified infectious diseases,1772,0.000550023,Group 5 (Morbidity <0.001%),0
1130,F78,Other mental retardation,1753,0.000544125,Group 5 (Morbidity <0.001%),0
1131,H22,Disorders of iris and ciliary body in diseases classified elsewhere,1751,0.000543504,Group 5 (Morbidity <0.001%),0
1132,C03,Malignant neoplasm of gum,1750,0.000543194,Group 5 (Morbidity <0.001%),0
1133,T74,Maltreatment syndromes,1747,0.000542263,Group 5 (Morbidity <0.001%),0
1134,S94,Injury of nerves at ankle and foot level,1739,0.00053978,Group 5 (Morbidity <0.001%),0
1135,C69,Malignant neoplasm of eye and adnexa,1730,0.000536986,Group 5 (Morbidity <0.001%),0
1136,A88,"Other viral infections of central nervous system, not elsewhere classified",1719,0.000533572,Group 5 (Morbidity <0.001%),0
1137,Q60,Renal agenesis and other reduction defects of kidney,1716,0.000532641,Group 5 (Morbidity <0.001%),0
1138,M91,Juvenile osteochondrosis of hip and pelvis,1708,0.000530157,Group 5 (Morbidity <0.001%),0
1139,C95,Leukaemia of unspecified cell type,1706,0.000529537,Group 5 (Morbidity <0.001%),0
1140,Q16,Congenital malformations of ear causing impairment of hearing,1706,0.000529537,Group 5 (Morbidity <0.001%),0
1141,Q14,Congenital malformations of posterior segment of eye,1694,0.000525812,Group 5 (Morbidity <0.001%),0
1142,P12,Birth injury to scalp,1685,0.000523018,Group 5 (Morbidity <0.001%),0
1143,J80,Adult respiratory distress syndrome,1682,0.000522087,Group 5 (Morbidity <0.001%),0
1144,P00,Fetus and newborn affected by maternal conditions that may be unrelated to present pregnancy,1679,0.000521156,Group 5 (Morbidity <0.001%),0
1145,E35,Disorders of endocrine glands in diseases classified elsewhere,1667,0.000517431,Group 5 (Morbidity <0.001%),0
1146,S57,Crushing injury of forearm,1667,0.000517431,Group 5 (Morbidity <0.001%),0
1147,G14,Postpolio syndrome,1659,0.000514948,Group 5 (Morbidity <0.001%),0
1148,D02,Carcinoma in situ of middle ear and respiratory system,1655,0.000513706,Group 5 (Morbidity <0.001%),0
1149,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue,1653,0.000513086,Group 5 (Morbidity <0.001%),0
1150,Q37,Cleft palate with cleft lip,1653,0.000513086,Group 5 (Morbidity <0.001%),0
1151,T86,Failure and rejection of transplanted organs and tissues,1635,0.000507498,Group 5 (Morbidity <0.001%),0
1152,E51,Thiamine deficiency,1625,0.000504394,Group 5 (Morbidity <0.001%),0
1153,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",1611,0.000500049,Group 5 (Morbidity <0.001%),0
1154,I81,Portal vein thrombosis,1611,0.000500049,Group 5 (Morbidity <0.001%),0
1155,K41,Femoral hernia,1601,0.000496945,Group 5 (Morbidity <0.001%),0
1156,Q99,"Other chromosome abnormalities, not elsewhere classified",1598,0.000496014,Group 5 (Morbidity <0.001%),0
1157,F44,Dissociative [conversion] disorders,1582,0.000491047,Group 5 (Morbidity <0.001%),0
1158,Q07,Other congenital malformations of nervous system,1555,0.000482667,Group 5 (Morbidity <0.001%),0
1159,Z72,Problems related to lifestyle,1552,0.000481736,Group 5 (Morbidity <0.001%),0
1160,T35,Frostbite involving multiple body regions and unspecified frostbite,1544,0.000479252,Group 5 (Morbidity <0.001%),0
1161,Z63,"Other problems related to primary support group, including family circumstances",1536,0.000476769,Group 5 (Morbidity <0.001%),0
1162,Q70,Syndactyly,1526,0.000473665,Group 5 (Morbidity <0.001%),0
1163,B25,Cytomegaloviral disease,1525,0.000473355,Group 5 (Morbidity <0.001%),0
1164,L97,"Ulcer of lower limb, not elsewhere classified",1514,0.00046994,Group 5 (Morbidity <0.001%),0
1165,C31,Malignant neoplasm of accessory sinuses,1507,0.000467768,Group 5 (Morbidity <0.001%),0
1166,T80,"Complications following infusion, transfusion and therapeutic injection",1494,0.000463733,Group 5 (Morbidity <0.001%),0
1167,Z41,Procedures for purposes other than remedying health state,1491,0.000462801,Group 5 (Morbidity <0.001%),0
1168,E25,Adrenogenital disorders,1447,0.000449144,Group 5 (Morbidity <0.001%),0
1169,C38,"Malignant neoplasm of heart, mediastinum and pleura",1445,0.000448523,Group 5 (Morbidity <0.001%),0
1170,T43,"Poisoning by psychotropic drugs, not elsewhere classified",1435,0.000445419,Group 5 (Morbidity <0.001%),0
1171,P01,Fetus and newborn affected by maternal complications of pregnancy,1431,0.000444178,Group 5 (Morbidity <0.001%),0
1172,H59,"Postprocedural disorders of eye and adnexa, not elsewhere classified",1429,0.000443557,Group 5 (Morbidity <0.001%),0
1173,E12,Malnutrition-related diabetes mellitus,1425,0.000442315,Group 5 (Morbidity <0.001%),0
1174,C01,Malignant neoplasm of base of tongue,1419,0.000440453,Group 5 (Morbidity <0.001%),0
1175,J61,Pneumoconiosis due to asbestos and other mineral fibres,1405,0.000436107,Group 5 (Morbidity <0.001%),0
1176,P78,Other perinatal digestive system disorders,1403,0.000435486,Group 5 (Morbidity <0.001%),0
1177,M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere,1401,0.000434866,Group 5 (Morbidity <0.001%),0
1178,S24,Injury of nerves and spinal cord at thorax level,1396,0.000433314,Group 5 (Morbidity <0.001%),0
1179,Q26,Congenital malformations of great veins,1394,0.000432693,Group 5 (Morbidity <0.001%),0
1180,B15,Acute hepatitis A,1392,0.000432072,Group 5 (Morbidity <0.001%),0
1181,D58,Other hereditary haemolytic anaemias,1391,0.000431762,Group 5 (Morbidity <0.001%),0
1182,S88,Traumatic amputation of lower leg,1370,0.000425243,Group 5 (Morbidity <0.001%),0
1183,Q42,"Congenital absence, atresia and stenosis of large intestine",1365,0.000423691,Group 5 (Morbidity <0.001%),0
1184,P91,Other disturbances of cerebral status of newborn,1332,0.000413448,Group 5 (Morbidity <0.001%),0
1185,Q40,Other congenital malformations of upper alimentary tract,1302,0.000404136,Group 5 (Morbidity <0.001%),0
1186,J68,"Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours",1295,0.000401964,Group 5 (Morbidity <0.001%),0
1187,P13,Birth injury to skeleton,1294,0.000401653,Group 5 (Morbidity <0.001%),0
1188,I40,Acute myocarditis,1291,0.000400722,Group 5 (Morbidity <0.001%),0
1189,P72,Other transitory neonatal endocrine disorders,1238,0.000384271,Group 5 (Morbidity <0.001%),0
1190,O05,Other abortion,1229,0.000381477,Group 5 (Morbidity <0.001%),0
1191,D80,Immunodeficiency with predominantly antibody defects,1221,0.000378994,Group 5 (Morbidity <0.001%),0
1192,E72,Other disorders of amino-acid metabolism,1212,0.000376201,Group 5 (Morbidity <0.001%),0
1193,T51,Toxic effect of alcohol,1208,0.000374959,Group 5 (Morbidity <0.001%),0
1194,E74,Other disorders of carbohydrate metabolism,1204,0.000373717,Group 5 (Morbidity <0.001%),0
1195,D62,Acute posthaemorrhagic anaemia,1201,0.000372786,Group 5 (Morbidity <0.001%),0
1196,B16,Acute hepatitis B,1199,0.000372166,Group 5 (Morbidity <0.001%),0
1197,R36,Urethral discharge,1199,0.000372166,Group 5 (Morbidity <0.001%),0
1198,H58,Other disorders of eye and adnexa in diseases classified elsewhere,1196,0.000371234,Group 5 (Morbidity <0.001%),0
1199,P36,Bacterial sepsis of newborn,1193,0.000370303,Group 5 (Morbidity <0.001%),0
1200,J70,Respiratory conditions due to other external agents,1190,0.000369372,Group 5 (Morbidity <0.001%),0
1201,I38,"Endocarditis, valve unspecified",1187,0.000368441,Group 5 (Morbidity <0.001%),0
1202,C51,Malignant neoplasm of vulva,1182,0.000366889,Group 5 (Morbidity <0.001%),0
1203,P23,Congenital pneumonia,1178,0.000365647,Group 5 (Morbidity <0.001%),0
1204,L54,Erythema in diseases classified elsewhere,1176,0.000365026,Group 5 (Morbidity <0.001%),0
1205,I00,Rheumatic fever without mention of heart involvement,1174,0.000364406,Group 5 (Morbidity <0.001%),0
1206,F81,Specific developmental disorders of scholastic skills,1169,0.000362854,Group 5 (Morbidity <0.001%),0
1207,Q98,"Other sex chromosome abnormalities, male phenotype, not elsewhere classified",1162,0.000360681,Group 5 (Morbidity <0.001%),0
1208,Q64,Other congenital malformations of urinary system,1159,0.00035975,Group 5 (Morbidity <0.001%),0
1209,H32,Chorioretinal disorders in diseases classified elsewhere,1146,0.000355714,Group 5 (Morbidity <0.001%),0
1210,C26,Malignant neoplasm of other and ill-defined digestive organs,1141,0.000354163,Group 5 (Morbidity <0.001%),0
1211,T39,"Poisoning by nonopioid analgesics, antipyretics and antirheumatics",1140,0.000353852,Group 5 (Morbidity <0.001%),0
1212,T56,Toxic effect of metals,1132,0.000351369,Group 5 (Morbidity <0.001%),0
1213,J91,Pleural effusion in conditions classified elsewhere,1122,0.000348265,Group 5 (Morbidity <0.001%),0
1214,N26,Unspecified contracted kidney,1121,0.000347955,Group 5 (Morbidity <0.001%),0
1215,Z92,Personal history of medical treatment,1114,0.000345782,Group 5 (Morbidity <0.001%),0
1216,G32,Other degenerative disorders of nervous system in diseases classified elsewhere,1111,0.000344851,Group 5 (Morbidity <0.001%),0
1217,E54,Ascorbic acid deficiency,1106,0.000343299,Group 5 (Morbidity <0.001%),0
1218,F89,Unspecified disorder of psychological development,1105,0.000342988,Group 5 (Morbidity <0.001%),0
1219,H48,Disorders of optic [2nd] nerve and visual pathways in diseases classified elsewhere,1099,0.000341126,Group 5 (Morbidity <0.001%),0
1220,R85,Abnormal findings in specimens from digestive organs and abdominal cavity,1094,0.000339574,Group 5 (Morbidity <0.001%),0
1221,L99,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,1085,0.00033678,Group 5 (Morbidity <0.001%),0
1222,I37,Pulmonary valve disorders,1083,0.00033616,Group 5 (Morbidity <0.001%),0
1223,F21,Schizotypal disorder,1079,0.000334918,Group 5 (Morbidity <0.001%),0
1224,O10,"Pre-existing hypertension complicating pregnancy, childbirth and the puerperium",1075,0.000333676,Group 5 (Morbidity <0.001%),0
1225,Q77,Osteochondrodysplasia with defects of growth of tubular bones and spine,1073,0.000333056,Group 5 (Morbidity <0.001%),0
1226,Z24,Need for immunization against certain single viral diseases,1058,0.0003284,Group 5 (Morbidity <0.001%),0
1227,F54,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,1057,0.000328089,Group 5 (Morbidity <0.001%),0
1228,Q12,Congenital lens malformations,1049,0.000325606,Group 5 (Morbidity <0.001%),0
1229,N82,Fistulae involving female genital tract,1034,0.00032095,Group 5 (Morbidity <0.001%),0
1230,F09,Unspecified organic or symptomatic mental disorder,1030,0.000319708,Group 5 (Morbidity <0.001%),0
1231,I28,Other diseases of pulmonary vessels,1020,0.000316605,Group 5 (Morbidity <0.001%),0
1232,Z83,Family history of other specific disorders,1018,0.000315984,Group 5 (Morbidity <0.001%),0
1233,O40,Polyhydramnios,1010,0.000313501,Group 5 (Morbidity <0.001%),0
1234,Z40,Prophylactic surgery,1006,0.000312259,Group 5 (Morbidity <0.001%),0
1235,C05,Malignant neoplasm of palate,996,0.000309155,Group 5 (Morbidity <0.001%),0
1236,L59,Other disorders of skin and subcutaneous tissue related to radiation,991,0.000307603,Group 5 (Morbidity <0.001%),0
1237,O64,Obstructed labour due to malposition and malpresentation of fetus,987,0.000306361,Group 5 (Morbidity <0.001%),0
1238,Q45,Other congenital malformations of digestive system,987,0.000306361,Group 5 (Morbidity <0.001%),0
1239,C45,Mesothelioma,968,0.000300464,Group 5 (Morbidity <0.001%),0
1240,O04,Medical abortion,949,0.000294566,Group 5 (Morbidity <0.001%),0
1241,O98,"Maternal infectious and parasitic diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",948,0.000294256,Group 5 (Morbidity <0.001%),0
1242,Q15,Other congenital malformations of eye,948,0.000294256,Group 5 (Morbidity <0.001%),0
1243,J92,Pleural plaque,945,0.000293325,Group 5 (Morbidity <0.001%),0
1244,R34,Anuria and oliguria,943,0.000292704,Group 5 (Morbidity <0.001%),0
1245,T87,Complications peculiar to reattachment and amputation,943,0.000292704,Group 5 (Morbidity <0.001%),0
1246,Z57,Occupational exposure to risk-factors,927,0.000287738,Group 5 (Morbidity <0.001%),0
1247,C93,Monocytic leukaemia,924,0.000286806,Group 5 (Morbidity <0.001%),0
1248,M90,Osteopathies in diseases classified elsewhere,918,0.000284944,Group 5 (Morbidity <0.001%),0
1249,J60,Coalworker pneumoconiosis,911,0.000282771,Group 5 (Morbidity <0.001%),0
1250,T59,"Toxic effect of other gases, fumes and vapours",910,0.000282461,Group 5 (Morbidity <0.001%),0
1251,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,905,0.000280909,Group 5 (Morbidity <0.001%),0
1252,N25,Disorders resulting from impaired renal tubular function,901,0.000279667,Group 5 (Morbidity <0.001%),0
1253,T62,Toxic effect of other noxious substances eaten as food,901,0.000279667,Group 5 (Morbidity <0.001%),0
1254,J67,Hypersensitivity pneumonitis due to organic dust,899,0.000279047,Group 5 (Morbidity <0.001%),0
1255,Z99,"Dependence on enabling machines and devices, not elsewhere classified",893,0.000277184,Group 5 (Morbidity <0.001%),0
1256,P27,Chronic respiratory disease originating in the perinatal period,890,0.000276253,Group 5 (Morbidity <0.001%),0
1257,N29,Other disorders of kidney and ureter in diseases classified elsewhere,886,0.000275011,Group 5 (Morbidity <0.001%),0
1258,O62,Abnormalities of forces of labour,884,0.000274391,Group 5 (Morbidity <0.001%),0
1259,O01,Hydatidiform mole,869,0.000269735,Group 5 (Morbidity <0.001%),0
1260,T28,Burn and corrosion of other internal organs,869,0.000269735,Group 5 (Morbidity <0.001%),0
1261,Z82,Family history of certain disabilities and chronic diseases leading to disablement,869,0.000269735,Group 5 (Morbidity <0.001%),0
1262,Q39,Congenital malformations of oesophagus,863,0.000267872,Group 5 (Morbidity <0.001%),0
1263,P74,Other transitory neonatal electrolyte and metabolic disturbances,861,0.000267251,Group 5 (Morbidity <0.001%),0
1264,R64,Cachexia,856,0.000265699,Group 5 (Morbidity <0.001%),0
1265,Q13,Congenital malformations of anterior segment of eye,854,0.000265079,Group 5 (Morbidity <0.001%),0
1266,Q31,Congenital malformations of larynx,853,0.000264768,Group 5 (Morbidity <0.001%),0
1267,B47,Mycetoma,848,0.000263216,Group 5 (Morbidity <0.001%),0
1268,E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism,838,0.000260112,Group 5 (Morbidity <0.001%),0
1269,F15,"Mental and behavioural disorders due to use of other stimulants, including caffeine",836,0.000259492,Group 5 (Morbidity <0.001%),0
1270,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere,829,0.000257319,Group 5 (Morbidity <0.001%),0
1271,B89,Unspecified parasitic disease,807,0.00025049,Group 5 (Morbidity <0.001%),0
1272,N22,Calculus of urinary tract in diseases classified elsewhere,799,0.000248007,Group 5 (Morbidity <0.001%),0
1273,L87,Transepidermal elimination disorders,797,0.000247386,Group 5 (Morbidity <0.001%),0
1274,E90,Nutritional and metabolic disorders in diseases classified elsewhere,794,0.000246455,Group 5 (Morbidity <0.001%),0
1275,Q02,Microcephaly,779,0.000241799,Group 5 (Morbidity <0.001%),0
1276,Z91,"Personal history of risk-factors, not elsewhere classified",779,0.000241799,Group 5 (Morbidity <0.001%),0
1277,Q11,"Anophthalmos, microphthalmos and macrophthalmos",776,0.000240868,Group 5 (Morbidity <0.001%),0
1278,T54,Toxic effect of corrosive substances,775,0.000240557,Group 5 (Morbidity <0.001%),0
1279,C70,Malignant neoplasm of meninges,772,0.000239626,Group 5 (Morbidity <0.001%),0
1280,J95,"Postprocedural respiratory disorders, not elsewhere classified",768,0.000238385,Group 5 (Morbidity <0.001%),0
1281,S16,Injury of muscle and tendon at neck level,758,0.000235281,Group 5 (Morbidity <0.001%),0
1282,Q72,Reduction defects of lower limb,757,0.00023497,Group 5 (Morbidity <0.001%),0
1283,C68,Malignant neoplasm of other and unspecified urinary organs,754,0.000234039,Group 5 (Morbidity <0.001%),0
1284,S35,"Injury of blood vessels at abdomen, lower back and pelvis level",738,0.000229073,Group 5 (Morbidity <0.001%),0
1285,A42,Actinomycosis,720,0.000223486,Group 5 (Morbidity <0.001%),0
1286,H80,Otosclerosis,720,0.000223486,Group 5 (Morbidity <0.001%),0
1287,N33,Bladder disorders in diseases classified elsewhere,715,0.000221934,Group 5 (Morbidity <0.001%),0
1288,K45,Other abdominal hernia,714,0.000221623,Group 5 (Morbidity <0.001%),0
1289,R78,"Findings of drugs and other substances, not normally found in blood",714,0.000221623,Group 5 (Morbidity <0.001%),0
1290,T90,Sequelae of injuries of head,713,0.000221313,Group 5 (Morbidity <0.001%),0
1291,O45,Premature separation of placenta [abruptio placentae],710,0.000220382,Group 5 (Morbidity <0.001%),0
1292,M63,Disorders of muscle in diseases classified elsewhere,695,0.000215726,Group 5 (Morbidity <0.001%),0
1293,Z87,Personal history of other diseases and conditions,682,0.00021169,Group 5 (Morbidity <0.001%),0
1294,S19,Other and unspecified injuries of neck,681,0.00021138,Group 5 (Morbidity <0.001%),0
1295,A07,Other protozoal intestinal diseases,679,0.000210759,Group 5 (Morbidity <0.001%),0
1296,C04,Malignant neoplasm of floor of mouth,673,0.000208897,Group 5 (Morbidity <0.001%),0
1297,G97,"Postprocedural disorders of nervous system, not elsewhere classified",670,0.000207966,Group 5 (Morbidity <0.001%),0
1298,Q50,"Congenital malformations of ovaries, fallopian tubes and broad ligaments",661,0.000205172,Group 5 (Morbidity <0.001%),0
1299,C52,Malignant neoplasm of vagina,657,0.000203931,Group 5 (Morbidity <0.001%),0
1300,S98,Traumatic amputation of ankle and foot,654,0.000202999,Group 5 (Morbidity <0.001%),0
1301,R71,Abnormality of red blood cells,645,0.000200206,Group 5 (Morbidity <0.001%),0
1302,T68,Hypothermia,642,0.000199275,Group 5 (Morbidity <0.001%),0
1303,P08,Disorders related to long gestation and high birth weight,641,0.000198964,Group 5 (Morbidity <0.001%),0
1304,P52,Intracranial nontraumatic haemorrhage of fetus and newborn,636,0.000197412,Group 5 (Morbidity <0.001%),0
1305,F53,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",622,0.000193067,Group 5 (Morbidity <0.001%),0
1306,M73,Soft tissue disorders in diseases classified elsewhere,622,0.000193067,Group 5 (Morbidity <0.001%),0
1307,T27,Burn and corrosion of respiratory tract,622,0.000193067,Group 5 (Morbidity <0.001%),0
1308,Z88,"Personal history of allergy to drugs, medicaments and biological substances",617,0.000191515,Group 5 (Morbidity <0.001%),0
1309,P21,Birth asphyxia,613,0.000190273,Group 5 (Morbidity <0.001%),0
1310,E65,Localized adiposity,612,0.000189963,Group 5 (Morbidity <0.001%),0
1311,C94,Other leukaemias of specified cell type,611,0.000189652,Group 5 (Morbidity <0.001%),0
1312,T71,Asphyxiation,611,0.000189652,Group 5 (Morbidity <0.001%),0
1313,I22,Subsequent myocardial infarction,605,0.00018779,Group 5 (Morbidity <0.001%),0
1314,B60,"Other protozoal diseases, not elsewhere classified",602,0.000186859,Group 5 (Morbidity <0.001%),0
1315,E70,Disorders of aromatic amino-acid metabolism,594,0.000184376,Group 5 (Morbidity <0.001%),0
1316,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system,587,0.000182203,Group 5 (Morbidity <0.001%),0
1317,G73,Disorders of myoneural junction and muscle in diseases classified elsewhere,583,0.000180961,Group 5 (Morbidity <0.001%),0
1318,S85,Injury of blood vessels at lower leg level,581,0.00018034,Group 5 (Morbidity <0.001%),0
1319,Q80,Congenital ichthyosis,578,0.000179409,Group 5 (Morbidity <0.001%),0
1320,P29,Cardiovascular disorders originating in the perinatal period,574,0.000178168,Group 5 (Morbidity <0.001%),0
1321,T95,"Sequelae of burns, corrosions and frostbite",574,0.000178168,Group 5 (Morbidity <0.001%),0
1322,B77,Ascariasis,571,0.000177236,Group 5 (Morbidity <0.001%),0
1323,P90,Convulsions of newborn,571,0.000177236,Group 5 (Morbidity <0.001%),0
1324,C12,Malignant neoplasm of piriform sinus,562,0.000174443,Group 5 (Morbidity <0.001%),0
1325,S55,Injury of blood vessels at forearm level,562,0.000174443,Group 5 (Morbidity <0.001%),0
1326,T48,Poisoning by agents primarily acting on smooth and skeletal muscles and the respiratory system,562,0.000174443,Group 5 (Morbidity <0.001%),0
1327,E15,Nondiabetic hypoglycaemic coma,554,0.00017196,Group 5 (Morbidity <0.001%),0
1328,R98,Unattended death,553,0.000171649,Group 5 (Morbidity <0.001%),0
1329,B54,Unspecified malaria,545,0.000169166,Group 5 (Morbidity <0.001%),0
1330,T61,Toxic effect of noxious substances eaten as seafood,544,0.000168856,Group 5 (Morbidity <0.001%),0
1331,G00,"Bacterial meningitis, not elsewhere classified",543,0.000168545,Group 5 (Morbidity <0.001%),0
1332,A35,Other tetanus,540,0.000167614,Group 5 (Morbidity <0.001%),0
1333,S95,Injury of blood vessels at ankle and foot level,536,0.000166373,Group 5 (Morbidity <0.001%),0
1334,F65,Disorders of sexual preference,535,0.000166062,Group 5 (Morbidity <0.001%),0
1335,M68,Disorders of synovium and tendon in diseases classified elsewhere,530,0.00016451,Group 5 (Morbidity <0.001%),0
1336,O31,Complications specific to multiple gestation,527,0.000163579,Group 5 (Morbidity <0.001%),0
1337,A86,Unspecified viral encephalitis,522,0.000162027,Group 5 (Morbidity <0.001%),0
1338,C46,Kaposi sarcoma,520,0.000161406,Group 5 (Morbidity <0.001%),0
1339,D82,Immunodeficiency associated with other major defects,520,0.000161406,Group 5 (Morbidity <0.001%),0
1340,N01,Rapidly progressive nephritic syndrome,520,0.000161406,Group 5 (Morbidity <0.001%),0
1341,F68,Other disorders of adult personality and behaviour,519,0.000161096,Group 5 (Morbidity <0.001%),0
1342,S78,Traumatic amputation of hip and thigh,514,0.000159544,Group 5 (Morbidity <0.001%),0
1343,M03,Postinfective and reactive arthropathies in diseases classified elsewhere,512,0.000158923,Group 5 (Morbidity <0.001%),0
1344,D56,Thalassaemia,506,0.000157061,Group 5 (Morbidity <0.001%),0
1345,B76,Hookworm diseases,505,0.00015675,Group 5 (Morbidity <0.001%),0
1346,D19,Benign neoplasm of mesothelial tissue,504,0.00015644,Group 5 (Morbidity <0.001%),0
1347,L88,Pyoderma gangrenosum,502,0.000155819,Group 5 (Morbidity <0.001%),0
1348,O73,"Retained placenta and membranes, without haemorrhage",500,0.000155198,Group 5 (Morbidity <0.001%),0
1349,Q03,Congenital hydrocephalus,500,0.000155198,Group 5 (Morbidity <0.001%),0
1350,C00,Malignant neoplasm of lip,498,0.000154578,Group 5 (Morbidity <0.001%),0
1351,O11,Pre-eclampsia superimposed on chronic hypertension,495,0.000153646,Group 5 (Morbidity <0.001%),0
1352,N27,Small kidney of unknown cause,486,0.000150853,Group 5 (Morbidity <0.001%),0
1353,S77,Crushing injury of hip and thigh,486,0.000150853,Group 5 (Morbidity <0.001%),0
1354,F73,Profound mental retardation,485,0.000150542,Group 5 (Morbidity <0.001%),0
1355,Q92,"Other trisomies and partial trisomies of the autosomes, not elsewhere classified",481,0.000149301,Group 5 (Morbidity <0.001%),0
1356,Q84,Other congenital malformations of integument,478,0.00014837,Group 5 (Morbidity <0.001%),0
1357,A40,Streptococcal sepsis,476,0.000147749,Group 5 (Morbidity <0.001%),0
1358,O75,"Other complications of labour and delivery, not elsewhere classified",461,0.000143093,Group 5 (Morbidity <0.001%),0
1359,Q30,Congenital malformations of nose,459,0.000142472,Group 5 (Morbidity <0.001%),0
1360,O70,Perineal laceration during delivery,458,0.000142162,Group 5 (Morbidity <0.001%),0
1361,D67,Hereditary factor IX deficiency,455,0.00014123,Group 5 (Morbidity <0.001%),0
1362,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,450,0.000139678,Group 5 (Morbidity <0.001%),0
1363,O71,Other obstetric trauma,450,0.000139678,Group 5 (Morbidity <0.001%),0
1364,G08,Intracranial and intraspinal phlebitis and thrombophlebitis,449,0.000139368,Group 5 (Morbidity <0.001%),0
1365,B51,Plasmodium vivax malaria,447,0.000138747,Group 5 (Morbidity <0.001%),0
1366,L62,Nail disorders in diseases classified elsewhere,444,0.000137816,Group 5 (Morbidity <0.001%),0
1367,T38,"Poisoning by hormones and their synthetic substitutes and antagonists, not elsewhere classified",438,0.000135954,Group 5 (Morbidity <0.001%),0
1368,E60,Dietary zinc deficiency,437,0.000135643,Group 5 (Morbidity <0.001%),0
1369,Q81,Epidermolysis bullosa,435,0.000135023,Group 5 (Morbidity <0.001%),0
1370,D60,Acquired pure red cell aplasia [erythroblastopenia],434,0.000134712,Group 5 (Morbidity <0.001%),0
1371,Q34,Other congenital malformations of respiratory system,433,0.000134402,Group 5 (Morbidity <0.001%),0
1372,T07,Unspecified multiple injuries,433,0.000134402,Group 5 (Morbidity <0.001%),0
1373,G10,Huntington disease,432,0.000134091,Group 5 (Morbidity <0.001%),0
1374,A93,"Other arthropod-borne viral fevers, not elsewhere classified",430,0.000133471,Group 5 (Morbidity <0.001%),0
1375,J99,Respiratory disorders in diseases classified elsewhere,428,0.00013285,Group 5 (Morbidity <0.001%),0
1376,C60,Malignant neoplasm of penis,427,0.000132539,Group 5 (Morbidity <0.001%),0
1377,T34,Frostbite with tissue necrosis,424,0.000131608,Group 5 (Morbidity <0.001%),0
